Date,C,I,G,X,M,Y,cpi,cpiadj,cpi_8,Hrs_worked,Labor_prod,Tcomp_hour,C_Y2Y,I_Y2Y,G_Y2Y,X_Y2Y,M_Y2Y,Y_Y2Y,cpi_Y2Y,cpi8_Y2Y,Hrs_worked_Y2Y,Labor_prod_Y2Y,Tcomp_hour_Y2Y,C_Q2Q,I_Q2Q,G_Q2Q,X_Q2Q,M_Q2Q,Y_Q2Q,CPI_Q2Q,CPI8_Q2Q,Hrs_worked_Q2Q,Labor_prod_Q2Q,Tcomp_hour_Q2Q,C_N,I_N,G_N,X_N,M_N,Y_N,Q3C,Q3I,Q3G,Q3X,Q3M
1/1/1961,185203,45541,104531,44853,36920,343577,15.7,15.73479518,,,,,,,,,,,,,,,,,,,,,,,,,,,25540,7104,8713,7080,7296,40672,62.79504327,17.46656176,21.42260031,17.40755311,17.938631
4/1/1961,188734,46103,106328,44358,36808,352261,15.7,15.70114839,,,,,,,,,,,,,,,,1.906556589,1.234052832,1.71910725,-1.10360511,-0.303358613,2.52753,-0.213836858,,,,,26048,7196,8884,7032,7316,41568,62.66358737,17.31139338,21.37220939,16.91685912,17.60007698
7/1/1961,193365,44615,110441,45748,37144,360748,15.7,15.67551095,,,,,,,,,,,,,,,,2.453717931,-3.227555691,3.868219096,3.133594842,0.912845034,2.40929,-0.163283815,,,,,26704,6740,9296,7432,7568,42680,62.56794752,15.79194002,21.78069353,17.41330834,17.73195876
10/1/1961,194117,48010,110435,46719,39830,365775,15.7,15.68901182,,,,,,,,,,,,,,,,0.388901818,7.609548358,-0.005432765,2.122497158,7.23131596,1.39349,0.086127136,,,,,26904,7604,9387,7696,8132,43476,61.88241789,17.49010949,21.59122274,17.70172049,18.70457264
1/1/1962,198615,48483,112358,47164,39862,375481,15.7,15.73520894,,,,,7.24178334,6.460112865,7.487730912,5.152386685,7.968580715,9.285836945,0.002629564,,,,,2.317159239,0.985211414,1.741295785,0.952503264,0.080341451,2.65354,0.294455217,,,,,27600,7769,9628,7812,8236,44696,61.75049221,17.38186862,21.5410775,17.4780741,18.42670485
4/1/1962,199888,47195,115002,47326,38803,378238,15.83,15.82959859,,,,,5.909904946,2.368609418,8.157775939,6.691014022,5.420017388,7.374361624,0.818094342,,,,,0.640938499,-2.656601283,2.353192474,0.343482317,-2.656665496,0.73426,0.599862758,,,,,27932,7392,9936,7908,8192,45200,61.79646018,16.3539823,21.98230088,17.49557522,18.12389381
7/1/1962,199213,52073,114019,46557,38407,383219,15.93,15.90405101,,,,,3.024332221,16.716351,3.239738865,1.768383317,3.400279991,6.229001963,1.457943242,,,,,-0.337689106,10.33584066,-0.854767743,-1.624899632,-1.020539649,1.3169,0.470336702,,,,,27980,8588,9931,7848,8156,46144,60.63626907,18.61130374,21.52175798,17.00762829,17.67510402
10/1/1962,202909,50283,116052,49055,37128,391021,16,15.99265101,,,,,4.529227219,4.734430327,5.08624983,5.000107023,-6.783831283,6.902057276,1.935362086,,,,,1.855300608,-3.437481996,1.783036161,5.365465988,-3.330122113,2.03591,0.557090785,,,,,28700,8135,10141,8236,7884,47224,60.77418262,17.2264103,21.47425038,17.4402846,16.6949009
1/1/1963,204296,49871,117817,49475,37311,393401,16,16.03582844,,,,,2.86030763,2.862859147,4.858577048,4.899923671,-6.399578546,4.772545082,1.910489443,,,,,0.683557654,-0.819362409,1.520869955,0.856181837,0.492889463,0.60866,0.269982961,,,,,28996,8201,10307,8316,7996,47668,60.82906772,17.20441386,21.6224721,17.44566586,16.77435596
4/1/1963,208034,50489,117850,50587,38347,399154,16,15.99628428,,,,,4.075282158,6.979552919,2.47647867,6.890504163,-1.175166869,5.529851575,1.053000083,,,,,1.829698085,1.239197129,0.02800954,2.247599798,2.776661038,1.46238,-0.246598803,,,,,29740,8144,10422,8544,8244,48644,61.1380643,16.74204424,21.42504728,17.56434504,16.94761944
