Date,Y_N,M2_1,M2_2,M1_1,M1_11,cpi,cpi8,vM2_1,vM2_11,vM1_1,vM1_11,inflation,inflation8,vM2_1y2y,vM2_11y2y,vM1_1y2y,vM1_11y2y,M2_1y2y,M2_11y2y,M1_1y2y,M1_11y2y,Y_Ny2y,GBond1t3y,GBond3t5y,GBond5t10y,GBond10y,GBond1t3yy2y,GBond3t5yy2y,GBond5t10yy2y,GBond10yy2y
4/1/1975,173748,80420.33333,93083.66667,30930,48408,28.5,,2.1605,1.8666,5.6175,3.5893,,,,,,,,,,,,,,,,,,,
7/1/1975,182328,83366.33333,96593.66667,31724.33333,50687,29.43,,2.1871,1.8876,5.7473,3.5971,,,,,,,,,,,,,,,,,,,
10/1/1975,188532,86768.66667,100611,32718.66667,52330,30.03,,2.1728,1.8739,5.7622,3.6028,,,,,,,,,,,,,,,,,,,
1/1/1976,196288,89653.33333,104491.3333,33490.66667,53336,30.47,,2.1894,1.8785,5.8610,3.6802,,,,,,,,,,,,,,,,,,,
4/1/1976,206268,92650,107895.6667,33729.66667,53800,30.9,,2.2263,1.9117,6.1153,3.8340,8.4211,,3.046320442,2.419233899,8.862903727,6.817870868,15.20718226,15.91256611,9.051621942,11.13942006,18.71676221,,,,,,,,
7/1/1976,208464,96669,112382,34086,55431,31.37,,2.1565,1.8550,6.1158,3.7608,6.5919,,-1.399033239,-0.017280454,0.064128717,0.04550723,15.95688108,16.34510199,7.444338205,9.358025016,14.33460577,,,,,,,,
10/1/1976,213008,100514.3333,116415,34428,57019,31.8,,2.1192,1.8297,6.1871,3.7358,5.8941,,-2.468306009,-0.023555951,0.073728901,0.036918248,15.84174011,15.70802397,5.22433677,8.959806357,12.98241147,,,,,,,,
1/1/1977,219892,104896.6667,120688.6667,35046.33333,58924,32.47,,2.0963,1.8220,6.2743,3.7318,6.5638,,-4.254045491,-0.030094413,0.070525175,0.014014483,17.00252826,15.50112609,4.645075245,10.47691067,12.02518748,,,,,,,,
4/1/1977,224772,109068.3333,125365,36276.33333,61338,33.3,,2.0608,1.7929,6.1961,3.6645,7.7670,,-7.432805986,-0.062139921,0.013208951,-0.04420363,17.7208131,16.1909499,7.550227792,14.01053284,8.970853453,,,,,,,,
7/1/1977,229704,112885.3333,129846.6667,37170.33333,63611,34,,2.0348,1.7690,6.1798,3.6111,8.3838,,-5.640159633,-0.046318314,0.010455228,-0.039808967,16.77511232,15.54044835,9.048680788,14.75717413,10.18880958,,,,,,,,
10/1/1977,235948,116665,133872.3333,37810.33333,65258,34.7,,2.0224,1.7625,6.2403,3.6156,9.1195,,-4.564973837,-0.036751159,0.008606294,-0.032164684,16.06802347,14.9957766,9.824367763,14.45082312,10.76954856,,,,,,,,
1/1/1978,241296,120596.6667,138697,38916,67405,35.4,,2.0009,1.7397,6.2004,3.5798,9.0237,,-4.551946303,-0.045139089,-0.011776708,-0.040719966,14.96711049,14.92131269,11.04157354,14.39190374,9.733869354,,,,,,,,
4/1/1978,248648,124668.3333,143189.3333,39892.66667,69188,36.23,,1.9945,1.7365,6.2329,3.5938,8.7988,,-3.220074454,-0.031480435,0.005942313,-0.019297816,14.30295992,14.21795025,9.968850215,12.79909572,10.62231951,,,,,,,,
7/1/1978,255176,129078.6667,147951,40505.33333,70781,37.13,,1.9769,1.7247,6.2998,3.6051,9.2059,,-2.84742487,-0.025045905,0.019425547,-0.001650798,14.34494,13.94285568,8.97220902,11.27274252,11.08905374,,,,,,,,
10/1/1978,263056,134883.6667,153727,41789.33333,73087,37.77,,1.9502,1.7112,6.2948,3.5992,8.8473,,-3.569785305,-0.029104267,0.008734733,-0.004530969,15.61622309,14.8310455,10.52357821,11.99642447,11.48897215,,,,,,,,
1/1/1979,271352,139823,159894.3333,41760.33333,73848,38.57,,1.9407,1.6971,6.4978,3.6744,8.9548,,-3.007178683,-0.024523303,0.047965879,0.026436699,15.94267393,15.28319526,7.308904649,9.559674404,12.45607055,,,,,,,,
4/1/1979,284116,144882.6667,164572,42237,75491,39.63,,1.9610,1.7264,6.7267,3.7636,9.3845,,-1.678058878,-0.00581904,0.079221841,0.047240657,16.21448911,14.93314213,5.876602216,9.109917375,14.26434156,,,,,,,,
7/1/1979,292900,151277,171451.6667,43590,78465,40.4,,1.9362,1.7084,6.7194,3.7329,8.8069,,-2.059771346,-0.009497126,0.066608125,0.035429327,17.19752296,15.88408775,7.615458047,10.85596956,14.78352196,,,,,,,,
10/1/1979,301924,158178.3333,177666.3333,43904,80836,41.33,,1.9088,1.6994,6.8769,3.7350,9.4255,,-2.127249679,-0.006896673,0.092473164,0.037726612,17.27019086,15.57262767,5.06030247,10.60288879,14.7755611,,,,,,,,
1/1/1980,309756,164466.3333,183173,43919.66667,83183,42.23,,1.8834,1.6911,7.0528,3.7238,9.4892,,-2.951616407,-0.003543568,0.08540451,0.013423753,17.62466356,14.55878153,5.170776095,12.64077275,14.15283469,,,,,,,,
4/1/1980,317208,171339,189374.6667,45137.33333,87017,43.4,,1.8513,1.6750,7.0276,3.6453,9.5130,,-5.592033554,-0.02975256,0.044733704,-0.03141048,18.26052346,15.07101248,6.866807144,15.26797778,11.64735531,,,,,,,,
7/1/1980,324720,176908.6667,194859.3333,46016,90277,44.63,,1.8355,1.6664,7.0567,3.5969,10.4703,,-5.198881644,-0.024538427,0.050189499,-0.036414243,16.94353184,13.65263291,5.565496674,15.0533569,10.86377603,,,,,,,,
10/1/1980,339304,184492.6667,202170,48431.66667,95695,45.87,,1.8391,1.6783,7.0058,3.5457,10.9848,,-3.648333647,-0.012402979,0.018746238,-0.050688587,16.63586458,13.79195833,10.31265185,18.38117348,12.38059909,,,,,,,,
1/1/1981,355984,191255.6667,208260.6667,48887,98437,47.43,,1.8613,1.7093,7.2818,3.6164,12.3135,,-1.173492036,0.010799353,0.032467523,-0.028847952,16.28864266,13.69615973,11.31004334,18.33780805,14.9240047,,,,,,,,
4/1/1981,368000,197927.6667,214332.6667,49493.33333,100352,48.83,,1.8593,1.7170,7.4353,3.6671,12.5115,,0.427675345,0.025031475,0.058017572,0.005969625,15.5181638,13.17916511,9.650547957,15.32376691,16.0122065,,,,,,,,
7/1/1981,372804,204922.3333,221408.3333,49488.66667,101798,50.3,,1.8192,1.6838,7.5331,3.6622,12.7045,,-0.886835595,0.01041265,0.067516598,0.01814445,15.83510135,13.62470021,7.54665044,12.76183303,14.80783444,,,,,,,,
10/1/1981,376632,210831.6667,228987,48687.66667,102703,51.53,,1.7864,1.6448,7.7357,3.6672,12.3392,,-2.865948609,-0.019981846,0.104176983,0.034267658,14.27644821,13.26457931,0.528579786,7.323614957,11.00134393,,,,,,,,
1/1/1982,383000,212503.6667,237013.6667,48759.33333,104301,52.83,,1.8023,1.6159,7.8549,3.6721,11.3852,,-3.168607158,-0.054629251,0.078708059,0.015405855,11.10973618,13.80625562,-0.261146453,5.956750826,7.589105128,,,,,,,,
4/1/1982,386512,216928,242275.6667,50060.33333,107369,54.47,,1.7818,1.5953,7.7209,3.5998,11.5503,,-4.168992083,-0.070833094,0.038408251,-0.018340566,9.599634883,13.03721007,1.145608836,6.99274219,5.030434783,,,,,,,,
7/1/1982,389548,220337.6667,247427,50919,109235,55.63,,1.7680,1.5744,7.6503,3.5661,10.5964,,-2.819089936,-0.064966246,0.015561674,-0.026229704,7.522524794,11.75143965,2.890224024,7.305971958,4.491368118,,,,,,,,
10/1/1982,393644,224082,252709.6667,51820.66667,111272,56.5,,1.7567,1.5577,7.5963,3.5377,9.6449,,-1.663377074,-0.052944584,-0.018020581,-0.035316023,6.284792765,10.3598312,6.434894532,8.343124209,4.516875889,,,,,,,,
1/1/1983,403232,229101,260669.3333,54543.33333,115815,56.9,,1.7601,1.5469,7.3929,3.4817,7.7040,,-2.344735846,-0.042718505,-0.058820846,-0.051846556,7.810375037,9.980718411,11.8623443,11.03952343,5.282506527,,,,,,,,
4/1/1983,415800,232965.6667,265957,56738,119390,57.67,,1.7848,1.5634,7.3284,3.4827,5.8748,,0.171734487,-0.020013992,-0.050836089,-0.032538544,7.393082805,9.774540572,13.33923732,11.19565859,7.577513764,,,,,,,,
7/1/1983,428956,236565,271706,58624,122713,58.6,,1.8133,1.5788,7.3171,3.4956,5.3388,,2.562836469,0.002766065,-0.043563402,-0.019778255,7.36475682,9.812591189,15.13187612,12.33819338,10.11633996,,,,,,,,
10/1/1983,437256,241047.3333,277067.6667,60093.33333,124933,59.13,,1.8140,1.5782,7.2763,3.4999,4.6549,,3.26110831,0.013136936,-0.042124991,-0.010668071,7.571037983,9.638729029,15.9640298,12.27682316,11.07904604,,,,,,,,
1/1/1984,447836,243690.6667,281010.3333,60601.66667,125432,59.83,62.03333333,1.8377,1.5937,7.3898,3.5704,5.1494,,4.412405412,0.030224001,-0.000411803,0.025469814,6.368224786,7.803372856,11.1073764,8.303160779,11.06162209,,,,,,,,
4/1/1984,459548,247473.3333,286332.6667,61287,126238,60.33,62.7,1.8570,1.6049,7.4983,3.6403,4.6125,,4.0422915,0.02656611,0.02318003,0.045254108,6.227384007,7.661263538,8.017554373,5.736398181,10.52140452,,,,,,,,
7/1/1984,465172,253111.6667,292448,63417,126802,60.83,63.13333333,1.8378,1.5906,7.3351,3.6685,3.8055,,1.353592234,0.007514701,0.002468126,0.049458546,6.994553999,7.633986736,8.175832424,3.332165296,8.442823973,,,,,,,,
10/1/1984,475364,258614,298005.3333,66190,127564,61.3,63.56666667,1.8381,1.5952,7.1818,3.7265,3.6699,,1.330645929,0.01076995,-0.012983473,0.064727307,7.287641985,7.556878404,10.14532949,2.106201207,8.715260625,,,,,,,,
1/1/1985,486096,265305.6667,306927.6667,70196,130668,62,64.26666667,1.8322,1.5837,6.9248,3.7201,3.6269,3.6002,-0.29994104,-0.006222185,-0.062923065,0.04193854,8.869851396,9.222911138,15.83179781,4.174384459,8.543306032,,,,,,,,
4/1/1985,495344,271741.3333,315355.6667,74676.66667,134172,62.73,64.76666667,1.8229,1.5707,6.6332,3.6919,3.9781,3.2961,-1.836794314,-0.021307444,-0.115374477,0.014157449,9.806309097,10.13611207,21.84748261,6.284673171,7.789393056,,,,,,,,
7/1/1985,503860,278233,323364,79350.33333,137359,63.33,65.3,1.8109,1.5582,6.3498,3.6682,4.1098,3.4319,-1.462885176,-0.020389787,-0.134328231,-8.2323E-05,9.925000165,10.57145202,25.12470368,8.325841338,8.316923633,,,,,,,,
10/1/1985,514780,286012.6667,332844,84938,142117,63.83,65.9,1.7999,1.5466,6.0607,3.6222,4.1272,3.6707,-2.082088665,-0.030431091,-0.15611022,-0.027977192,10.59442515,11.69061851,28.32452032,11.40865239,8.291751163,,,,,,,,
1/1/1986,518600,292312.3333,341674,88485.33333,145492,64.67,66.56666667,1.7741,1.5178,5.8609,3.5644,4.3065,3.5788,-3.170017887,-0.041626998,-0.153646998,-0.041838995,10.17945339,11.32069119,26.05466598,11.34532134,6.686745005,,,,,,,,
4/1/1986,523832,299289.6667,349467,91326,148727,65.2,67.5,1.7503,1.4989,5.7358,3.5221,3.9375,4.2203,-3.982786595,-0.045711729,-0.135279796,-0.045982765,10.13770448,10.81678148,22.29522832,10.84826442,5.751154753,,,,,,,,
7/1/1986,530220,307383,359260.3333,94865.66667,153825,65.97,68.4,1.7249,1.4759,5.5892,3.4469,4.1686,4.7473,-4.747799686,-0.052828498,-0.119790776,-0.060323394,10.47683057,11.10090589,19.55295294,11.987051,5.231611956,,,,,,,,
10/1/1986,533836,315768.3333,368082.6667,97763,159090,66.63,69.33333333,1.6906,1.4503,5.4605,3.3556,4.3867,5.2099,-6.070310977,-0.062261908,-0.099023004,-0.073615521,10.40361849,10.58714192,15.09924886,11.94247945,3.701775516,,,,,,,,
1/1/1987,552472,326221.6667,377586.3333,101602,164356,67.27,69.93333333,1.6935,1.4632,5.4376,3.3614,4.0204,5.0576,-4.542051356,-0.03600801,-0.072216181,-0.056957154,11.60037722,10.51070123,14.82354891,12.96563164,6.531430775,,,,,,,,
4/1/1987,567408,335709.6667,389926.6667,107011.3333,170921,68.23,70.66666667,1.6902,1.4552,5.3023,3.3197,4.6472,4.6914,-3.432429517,-0.029206937,-0.075582645,-0.05746032,12.16881305,11.57753569,17.17510165,14.92216181,8.318697598,,,,,,,,
7/1/1987,581672,344286.6667,399484.3333,108340.6667,175641,68.97,71.43333333,1.6895,1.4561,5.3689,3.3117,4.5475,4.4347,-2.055129979,-0.013421676,-0.039406568,-0.039222201,12.00576046,11.19633766,14.2042959,14.18238081,9.703896496,,,,,,,,
10/1/1987,595756,349338,407451.3333,107366.3333,177075,69.43,72.13333333,1.7054,1.4622,5.5488,3.3644,4.2023,4.0385,0.87494537,0.008161691,0.016171395,0.002638717,10.63110614,10.69560461,9.823075533,11.30536448,11.59906788,,,,,,,,
1/1/1988,610940,352989.6667,419434,105744.6667,175714,70.03,72.8,1.7308,1.4566,5.7775,3.4769,4.1029,4.0991,2.197223807,-0.004500783,0.062507667,0.03435202,8.205463565,11.08293997,4.077347559,6.910391852,10.58297977,,,,,,,,
