Date,Durable goods,Semi-durable goods,Non-durable goods,Services,Gross domestic product at market prices,Durables Consumption,Nondurables Consumption,Durables_Y2Y,Nondurables_Y2Y,GDP_Y2Y
1/1/1980,33491,27327,165132,208101,839900,60818,373233,,,
4/1/1980,31411,27417,166202,209229,839633,58828,375431,,,
7/1/1980,33525,27892,167140,211411,838669,61417,378551,,,
10/1/1980,34014,28214,167119,212611,850244,62228,379730,,,
1/1/1981,34758,28692,166299,211813,869000,63450,378112,4.327666151,1.307226317,3.464698178
4/1/1981,34520,28410,164713,213852,878813,62930,378565,6.972870062,0.8347739,4.666324454
7/1/1981,32493,28350,166670,213424,870865,60843,380094,-0.934594656,0.407606901,3.838940035
10/1/1981,33030,28450,167496,212578,866907,61480,380074,-1.20203124,0.090590683,1.959790366
1/1/1982,30143,27307,166806,213575,856698,57450,380381,-9.456264775,0.600086747,-1.415650173
4/1/1982,29975,27315,165198,211620,846784,57290,376818,-8.962339107,-0.461479535,-3.644575126
7/1/1982,29667,27255,164653,210983,839351,56922,375636,-6.444455402,-1.172867764,-3.618700947
10/1/1982,30315,27241,161629,211060,831620,57556,372689,-6.382563435,-1.943042671,-4.070448156
1/1/1983,31601,27905,162411,213499,845528,59506,375910,3.578764143,-1.175400454,-1.303843361
4/1/1983,33484,27834,163001,215643,862137,61318,378644,7.030895444,0.48458407,1.813095193
7/1/1983,34945,28392,163627,217304,871800,63337,380931,11.26980781,1.409609303,3.865963107
10/1/1983,36034,28699,164993,218834,882771,64733,383827,12.46959483,2.988550776,6.150765975
1/1/1984,37899,29157,163622,220957,897956,67056,384579,12.68779619,2.306137107,6.20062257
4/1/1984,38369,29954,166065,221566,915532,68323,387631,11.42405167,2.373469539,6.193331222
7/1/1984,38881,29867,164862,222519,919386,68748,387381,8.543189605,1.693220032,5.45836201
10/1/1984,40233,30182,166571,226683,933956,70415,393254,8.777594117,2.45605442,5.79821947
1/1/1985,41268,30377,168379,228797,948155,71645,397176,6.843533763,3.275529865,5.590363002
4/1/1985,43521,30813,167059,230200,951167,74334,397259,8.797915782,2.483805475,3.892272471
7/1/1985,45005,31467,170034,233986,963232,76472,404020,11.23523593,4.295254543,4.769052389
10/1/1985,46528,32035,170358,235601,977997,78563,405959,11.57139814,3.230736369,4.715532638
1/1/1986,46671,31834,167749,237402,977709,78505,405151,9.574987787,2.007925957,3.117000912
4/1/1986,45990,32710,170123,241148,983268,78700,411271,5.873489924,3.527169932,3.374906825
7/1/1986,47940,33148,172266,242565,984512,81088,414831,6.036196255,2.675857631,2.209228929
10/1/1986,46551,33234,171170,245973,977390,79785,417143,1.555439584,2.754958013,-0.06206563
1/1/1987,47906,33059,168882,251608,999939,80965,420490,3.133558372,3.785995839,2.27368266
4/1/1987,50008,33451,171686,253765,1012856,83459,425451,6.047013977,3.447848256,3.009149082
7/1/1987,50234,33628,172707,257022,1028271,83862,429729,3.420974743,3.591342016,4.444740135
10/1/1987,51395,34187,172505,260442,1041564,85582,432947,7.265776775,3.78862884,6.565853958
1/1/1988,52476,33556,174396,261390,1056743,86032,435786,6.258259742,3.637660824,5.680746526
4/1/1988,52984,33778,174715,268021,1066100,86762,442736,3.957631891,4.062747531,5.256818343
7/1/1988,53224,34167,176590,268857,1066195,87391,445447,4.20810379,3.65765401,3.688132798
10/1/1988,53842,34524,178180,273043,1073647,88366,451223,3.253020495,4.221301915,3.080271592
1/1/1989,52913,34032,178915,278860,1085877,86945,457775,1.06123303,5.045825245,2.756961721
4/1/1989,55071,34653,178800,282004,1090042,89724,460804,3.413936977,4.080987315,2.245755558
7/1/1989,52476,34535,178955,284290,1093936,87011,463245,-0.434827385,3.995537067,2.601869264
10/1/1989,52837,34287,179882,287121,1091610,87124,467003,-1.405517959,3.497162157,1.673082494
1/1/1990,54274,34936,178889,293662,1101880,89210,472551,2.605095175,3.227786576,1.473739659
4/1/1990,52031,34272,179194,290720,1097326,86303,469914,-3.812803709,1.976979366,0.668231132
7/1/1990,51363,33991,179603,291843,1089543,85354,471446,-1.90435692,1.77033751,-0.401577423
10/1/1990,50631,33562,177580,293532,1079849,84193,471112,-3.364170607,0.879865868,-1.077399438
1/1/1991,48131,31456,176720,289206,1064443,79587,465926,-10.7869073,-1.401965079,-3.397556903
4/1/1991,51971,32118,176880,291970,1069391,84089,468850,-2.565380114,-0.22642441,-2.545733902
7/1/1991,51330,31715,176740,293205,1070831,83045,469945,-2.705204208,-0.318382169,-1.717417302
10/1/1991,49261,32014,177602,298220,1072812,81275,475822,-3.465846329,0.999762265,-0.651665187
1/1/1992,49893,31701,177903,297560,1073599,81594,475463,2.521768631,2.046891566,0.860168182
4/1/1992,49849,31764,178599,299167,1074900,81613,477766,-2.944499281,1.901674309,0.515153017
7/1/1992,50595,32221,178107,300909,1080679,82816,479016,-0.275754109,1.930225877,0.919659591
10/1/1992,50870,32650,179926,300270,1086820,83520,480196,2.762227007,0.919251317,1.305727378
1/1/1993,50424,32801,181808,302115,1093786,83225,483923,1.998921489,1.779318265,1.880310991
4/1/1993,50633,33099,181318,304049,1103731,83732,485367,2.596400083,1.590946195,2.682202996
7/1/1993,51188,33163,181228,307283,1114259,84351,488511,1.853506569,1.982188486,3.107305685
10/1/1993,51143,33115,181830,308542,1119063,84258,490372,0.88362069,2.119134687,2.966728621
1/1/1994,52419,33589,186422,312053,1135544,86008,498475,3.343947131,3.007089971,3.817748627
4/1/1994,52678,33949,185816,312544,1152141,86627,498360,3.457459514,2.676943426,4.386032466
7/1/1994,52343,34799,186500,313751,1166905,87142,500251,3.30879302,2.403221217,4.724754299
10/1/1994,54848,35475,186992,315702,1175398,90323,502694,7.198129554,2.512786211,5.034122297
1/1/1995,52800,35949,187324,317322,1186301,88749,504646,3.186912845,1.237975826,4.469840006
4/1/1995,52660,36167,188577,320600,1186757,88827,509177,2.539623905,2.170519303,3.004493374
7/1/1995,54300,36286,189524,323748,1188367,90586,513272,3.952170021,2.602893348,1.839224273
10/1/1995,54248,35541,189813,324660,1193203,89789,514473,-0.591211541,2.343174973,1.514806049
1/1/1996,54471,36090,191678,330107,1193982,90561,521785,2.041713146,3.396242118,0.647474798
4/1/1996,54866,36282,191856,329922,1202309,91148,521778,2.612944262,2.474777926,1.310462041
7/1/1996,55502,36369,190716,331877,1212835,91871,522593,1.418541496,1.815996197,2.0589599
10/1/1996,58775,36699,192020,336490,1222476,95474,528510,6.331510541,2.728423066,2.453312638
1/1/1997,60178,37325,193168,342638,1238578,97503,535806,7.665551396,2.687122091,3.735064683
4/1/1997,61917,37349,195277,343390,1252555,99266,538667,8.906393997,3.23681719,4.179125333
7/1/1997,63513,38285,196221,347603,1267511,101798,543824,10.8053684,4.062626174,4.508115284
10/1/1997,67064,38049,195183,348542,1279731,105113,543725,10.09594235,2.878848082,4.683527529
1/1/1998,63168,39464,196836,351153,1297725,102632,547989,5.260350964,2.27377073,4.775395655
4/1/1998,66758,39564,199064,352627,1298400,106322,551691,7.108173997,2.417820286,3.660118717
7/1/1998,67218,39986,200431,353951,1310474,107204,554382,5.310516906,1.941436935,3.389556383
10/1/1998,66943,39747,200080,356488,1328181,106690,556568,1.500290164,2.362039634,3.785951891
