Date,C,I,G,X,M,Y,Hrs_worked,Labor_prod,Tcomp_hour,K1,K2,K3,H
1/1/1981,439621,152182,251076,149031,126076,869000,68.288,67.66,29.598,5505566.718,3915495.58,2331500.309,5386.880673
4/1/1981,439057,164026,251156,153163,133966,878813,68.997,67.905,30.575,5575165.217,3981634.19,2378951.294,5442.809949
7/1/1981,436619,150856,254230,149522,127936,870865,68.658,67.266,31.33,5655563.739,4032949.336,2410859.729,5416.068024
10/1/1981,437476,139031,255208,150627,123060,866907,67.822,67.599,32.565,5721586.283,4071156.602,2429347.743,5350.120387
1/1/1982,430813,130741,253161,147394,113565,856698,66.636,67.762,33.696,5774793.489,4100118.687,2438621.356,5256.563093
4/1/1982,427326,111330,255563,150130,107475,846784,64.756,68.43,34.618,5818912.586,4108945.72,2428020.288,5108.259794
7/1/1982,425736,100936,257618,154705,107108,839351,63.04,69.292,34.856,5842958.897,4107158.077,2407555.273,4972.893592
10/1/1982,424261,104119,259126,141728,101740,831620,62.523,68.972,35.328,5856250.514,4108598.125,2391296.51,4932.110185
1/1/1983,430174,116120,254577,145706,107441,845528,62.573,70.471,35.79,5872525.756,4122003.172,2387851.684,4936.054421
4/1/1983,435308,116440,258701,155606,112404,862137,63.912,70.682,35.976,5900557.87,4135393.093,2384899.1,5041.681079
7/1/1983,440462,126264,261453,157731,121679,871800,65.029,70.417,36.299,5928489.502,4158272.265,2391918.145,5129.795326
10/1/1983,445166,130707,261775,169196,131793,882771,64.876,71.689,36.871,5965826.159,4185022.459,2403029.238,5117.725962
1/1/1984,449002,136304,262879,177501,136842,897956,65.178,72.955,37.205,6007045.767,4216700.897,2419181.776,5141.549152
4/1/1984,453671,141314,263208,183226,138508,915532,66.013,73.786,37.694,6053244.08,4252597.375,2439536.687,5207.417904
7/1/1984,454195,137114,266550,193644,143071,919386,66.862,73.078,38.083,6103759.419,4283396.44,2454673.853,5274.391043
10/1/1984,462105,134110,270066,190866,137166,933956,67.335,73.985,38.736,6149317.028,4310421.529,2466050.16,5311.703522
1/1/1985,467974,141101,274481,192260,142957,948155,67.875,74.772,39.292,6191187.273,4343761.991,2483848.652,5354.301278
4/1/1985,472243,145401,277936,193918,150096,951167,68.562,74.185,39.784,6239420.463,4380568.941,2505057.22,5408.495089
7/1/1985,481245,154291,276832,194872,153787,963232,69.737,74.07,39.989,6291230.156,4425345.718,2534095.359,5501.184651
10/1/1985,486249,153578,282654,197580,154639,977997,70.641,74.424,40.078,6351152.704,4468290.075,2560968.591,5572.49645
1/1/1986,485683,159187,282461,198768,157764,977709,71.393,73.514,40.296,6409463.414,4515769.823,2592107.161,5631.81777
4/1/1986,491268,157059,280375,200620,156711,983268,71.395,73.967,40.719,6472508.462,4559934.577,2619560.803,5631.975539
7/1/1986,498110,149611,282249,207384,163315,984512,71.209,74.114,41.129,6532479.835,4595547.213,2638193.763,5617.302979
10/1/1986,498121,147246,281068,206850,163200,977390,72.116,72.498,41.721,6584103.638,4627904.533,2653530.075,5688.851432
1/1/1987,502846,153862,283795,208771,161548,999939,73.15,73.604,42.249,6632588.083,4666068.919,2674715.571,5770.418246
4/1/1987,510974,159819,285958,205900,163897,1012856,74.196,73.608,42.687,6686961.262,4709236.196,2700798.792,5852.931677
7/1/1987,515284,171691,284607,209138,168291,1028271,74.694,74.531,43.393,6746475.843,4763196.291,2737449.853,5892.216275
10/1/1987,521276,185408,287827,215734,181863,1041564,75.727,74.541,43.988,6816969.706,4829524.384,2785985.36,5973.704204
